date,daily_return,num_stocks,nav,peak,drawdown
2021-09-07,0.011615286350104689,30,1.9535808177132377,1.9535808177132377,0.0
2021-09-08,0.003602835557900966,30,1.9606192481485283,1.9606192481485283,0.0
2021-09-09,0.013662220774694155,30,1.9874056611718482,1.9874056611718482,0.0
2021-09-10,0.00029898533495337166,30,1.9879998663191418,1.9879998663191418,0.0
2021-09-13,0.003932327428175268,30,1.9958173327206774,1.9958173327206774,0.0
2021-09-14,-0.018024967678376497,30,1.9598427898064437,1.9958173327206774,-0.01802496767837647
2021-09-15,-0.0004741270183677612,30,1.9589135753880431,1.9958173327206774,-0.018490548572562736
2021-09-16,-0.02083861862253126,30,1.9180925224760326,1.9958173327206774,-0.038943849705268964
2021-09-17,0.0004247189180615137,30,1.9189071726569205,1.9958173327206774,-0.03853567097691943
2021-09-22,0.016232732382290258,30,1.9500562792571172,1.9958173327206774,-0.02292847782876963
2021-09-23,0.008601634041572858,30,1.9668299497317583,1.9958173327206774,-0.014524066162610092
2021-09-24,-0.012735255512245273,30,1.9417818677727878,1.9958173327206774,-0.027074353981197764
2021-09-27,-0.01741147519014888,30,1.907972580957381,1.9958173327206774,-0.044014424728713655
2021-09-28,0.008206202618998642,30,1.9236297905482111,1.9958173327206774,-0.0361694133971975
2021-09-29,-0.019700159528583984,30,1.8857339768004748,1.9958173327206774,-0.05515702971180138
2021-09-30,0.004249089980798846,30,1.8937466301477495,1.9958173327206774,-0.05114230691332168
2021-10-08,0.009021862157164977,30,1.9108317512055382,1.9958173327206774,-0.04258184359952811
2021-10-11,4.3233823309855185e-05,30,1.9109143637678445,1.9958173327206774,-0.04254045075212071
2021-10-12,-0.01037010768818809,30,1.8910979760326665,1.9958173327206774,-0.05246940938490527
2021-10-13,-0.00023623232614012878,30,1.8906512375588294,1.9958173327206774,-0.05269324674041523
2021-10-14,-0.0036092771686146515,30,1.8838273532132952,1.9958173327206774,-0.056112339376629544
2021-10-15,0.002227850249124427,30,1.8880242384514587,1.9958173327206774,-0.054009499016764356
2021-10-18,0.010940031620310353,30,1.90867928332003,1.9958173327206774,-0.043660333023494605
2021-10-19,0.0054888747839295276,30,1.9191557849088539,1.9958173327206774,-0.03841110434055572
2021-10-20,-0.003637883936981989,30,1.912174118906368,1.9958173327206774,-0.04190925313805545
2021-10-21,0.0025312542376950686,30,1.9170143177480607,1.9958173327206774,-0.039484081874964584
2021-10-22,-0.006732302267613685,30,1.9041083979096376,1.9958173327206774,-0.045950565368636793
2021-10-25,0.004985676398502333,30,1.9136016662092858,1.9958173327206774,-0.04119398361939067
2021-10-26,-0.003619159354465784,30,1.9066760368383031,1.9958173327206774,-0.04466405538269267
2021-10-27,-0.009074745772176925,30,1.8893734365340937,1.9958173327206774,-0.05333348620711719
2021-10-28,-0.011717119717072873,30,1.8672354217879663,1.9958173327206774,-0.06442569108137244
2021-10-29,0.006245370411097248,30,1.8788969986417534,1.9958173327206774,-0.05858268297506937
2021-11-01,-0.008445193690956133,30,1.8630293495628678,1.9958173327206774,-0.06653313456136509
2021-11-02,-0.008134417780712128,30,1.847874690495795,1.9958173327206774,-0.07412634402929477
2021-11-03,-0.00960306938626198,30,1.8301294216258466,1.9958173327206774,-0.08301757299049348
2021-11-04,0.007976942580047863,30,1.844728258936212,1.9958173327206774,-0.07570285682332581
2021-11-05,-0.002939955725739825,30,1.8393048395289184,1.9958173327206774,-0.078420249501693
2021-11-08,0.0061652331143828695,30,1.850644582633027,1.9958173327206774,-0.0727384955063761
2021-11-09,-0.0003119582647558848,30,1.8500672587603488,1.9958173327206774,-0.07302776239629284
2021-11-10,-0.011696892976154675,30,1.828427220035941,1.9958173327206774,-0.0838704574514101
2021-11-11,0.011015698543314297,30,1.8485686231002472,1.9958173327206774,-0.0737786505840704
2021-11-12,-0.0021815462080421065,30,1.8445358852302172,1.9958173327206774,-0.07579924525669639
2021-11-15,-0.007593429996914713,30,1.8305295311089245,1.9958173327206774,-0.08281709899093537
2021-11-16,-0.009631918762645889,30,1.812898019372659,1.9958173327206774,-0.09165133018394263
2021-11-17,0.004968764507100239,30,1.82190588270631,1.9958173327206774,-0.08713795955328897
2021-11-18,-0.0015754014347325962,30,1.8190356495647466,1.9958173327206774,-0.08857608372152168
2021-11-19,0.007711944605661403,30,1.8330639517299134,1.9958173327206774,-0.08154723296690698
2021-11-22,0.012166381678217968,30,1.8553657074072423,1.9958173327206774,-0.07037298604976686
2021-11-23,-0.0026858067406388074,30,1.8503825536839378,1.9958173327206774,-0.07286978455011434
2021-11-24,-0.00890160781148254,30,1.833911173889834,1.9958173327206774,-0.08112273411822447
2021-11-25,-0.005123258124532962,30,1.824515573568531,1.9958173327206774,-0.08583037953610195
2021-11-26,-0.0009598564327023924,30,1.8227643005586756,1.9958173327206774,-0.08670785112688532
2021-11-29,0.003010830630594881,30,1.8282523351471525,1.9958173327206774,-0.08395808315037634
2021-11-30,0.0017671895991218118,30,1.8314832036583946,1.9958173327206774,-0.08233926340256012
2021-12-01,0.0027868285358527848,30,1.8365872333132849,1.9958173327206774,-0.07978190027557869
2021-12-02,-0.0017927158528825574,30,1.8332947542649225,1.9958173327206774,-0.08143158985106408
2021-12-03,0.006963977675637156,30,1.846061778006486,1.9958173327206774,-0.0750346999492414
2021-12-06,-0.007249547658349734,30,1.8326786651665703,1.9958173327206774,-0.0817402799742791
